Dolphin_ID_Number,Fin,Name,Dead,Dolphin_First_Observed,Comments,Fin_Shape_Family,Second_Fin_Shape_Family,Third_Fin_Shape_Family,PrintThisOne,Central_Catalog #,Manteo_Match,Virginia_Beach,Wilmington_Match,OcracokeMatch,CCUMatch,Known_Male,Seen_by_Trawler,Known_Female,s_GUID,HatterasMatch,Bad,Bad,No_Left_Photo,No_Right_Photo,Best_of_Project_Done,Better_Left_Photo,Better_Right_Photo,Cull_This_Dolphin,Scan_Picture,Change_To,Notes:,Distinctivenss,Missing_Date,Other
0001a,2C,,FALSE,25-May-95,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{F0BD160C-500D-46AF-B97A-740A3295223B},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0002a,5A,,FALSE,09-Aug-86,,#2 Family,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,{A4C57075-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,TRUE,FALSE
0002p,TN5B4,,FALSE,28-Jun-01,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{3AFC1990-0377-11D6-BC29-A1012DD24D3F},FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0002r,5A,,FALSE,01-Aug-97,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C571D6-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0003a,5B,,FALSE,17-Sep-02,,Lasagna,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{E152E2F2-32FD-4FD8-BA3D-6B52042F2A9B},FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,3,FALSE,FALSE
0004a,3/4A,,FALSE,19-Aug-86,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C571F6-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0005a,TN2B,,FALSE,10-Apr-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C57216-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,FALSE,FALSE
0006a,TN2C,,FALSE,17-Jul-93,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{753B99A7-8B14-4EC5-A881-E61564038ABC},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,FALSE,FALSE
0007a,LE,Little Crab,FALSE,19-Nov-01,,Crab,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{C1E1E007-FB80-405C-B32F-C4CDDF5C7950},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0008a,3/4A,,FALSE,07-Jul-95,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{D16F8BF1-F56C-45A2-9514-042274C078DD},FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0009a,2B,Riptorn,FALSE,26-Apr-94,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C5728B-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0010a,3/4A,,FALSE,16-Apr-95,"Somehow, sometime, 10a got deleted from Db!  Added back in on 18Nov20….",,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{F7F6D15A-B9D2-439A-B905-B64C0962A6DE},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0010p,3/4A,,FALSE,18-Dec-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{BED70239-2EF9-4F10-9AB5-162BAC0701FD},FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0010q,3/4A,,FALSE,09-Oct-03,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{7777DE32-C9EE-4C08-BC35-C6CBF61B986F},FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0010r,3/4A,,FALSE,15-Jun-06,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A29E10A0-BED6-4BEE-8C85-04B07B9B706E},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0011a,3/4A,,FALSE,20-Aug-86,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56E71-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0012a,TN34B,,FALSE,09-Mar-92,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56EA7-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,FALSE,FALSE
0013a,3/4A,Lucky,FALSE,17-Sep-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,{6E4BCF67-B208-4BFF-81E5-5EB9AEB67E50},FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0014a,3/4A,,FALSE,17-Dec-96,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56F26-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0015a,TN5A2,,FALSE,25-Jan-87,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56F4E-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0015q,TN341,,FALSE,15-Oct-98,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56F8F-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0015r,TN5A1,,FALSE,05-Jun-97,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C56F90-CA9F-11D4-BC29-B0219AD0F73F},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,FALSE,FALSE
0016a,TN5B5,Linda,FALSE,17-Sep-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{31C7DAE1-926E-4164-AE72-646C16F93C53},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
0018a,TN5A0,,FALSE,07-Oct-02,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{8BB30CD4-F243-4DE2-AA50-0C634242A759},FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,FALSE,FALSE
0019a,2C,,FALSE,26-Oct-98,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,{A4C57041-CA9F-11D4-BC29-B0219AD0F73F},FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,2,FALSE,FALSE
