AutoNum,Trip Date,Trip #,Sight #,Dolphin ID Number,New Dolphin?,Resight?,Seen Offshore?,s_GUID,Clarity,Contrast,Angle,Partial,Overall,Distinctiveness,Verified
-2147415858,30-Dec-08,1,1,3197a,FALSE,TRUE,FALSE,{1D271C3B-C90F-4954-9CFB-65ECCA5BC637},2,5,1,FALSE,8,,FALSE
-2146669529,08-Feb-12,1,2,2630a,FALSE,TRUE,FALSE,{71122210-E032-4517-B0C9-365A4244D069},2,1,2,FALSE,5,,FALSE
-2146311395,22-Sep-04,1,1,3132a,TRUE,FALSE,FALSE,{3B9D593F-948C-4FBA-A684-6DB49F723C92},,,,FALSE,,,FALSE
-2146247826,07-Jul-92,1,1,0040a,TRUE,FALSE,FALSE,{9AEDB1A3-0D6D-42A4-BD07-E55E9F7242B0},,,,FALSE,,,TRUE
-2146185626,04-Jan-98,1,3,1503a,FALSE,TRUE,FALSE,{6EB25E8B-A7BB-4E81-82AA-063F2FA70E26},,,,FALSE,,,FALSE
-2146149070,18-May-11,1,2,1726a,FALSE,TRUE,FALSE,{21132D72-3F33-44E3-8A96-6D74EE6B301F},3,3,1,FALSE,7,,FALSE
-2146076698,28-Dec-07,1,2,3778a,TRUE,FALSE,FALSE,{459ED32D-7881-4CAC-850E-178349FD440D},2,1,2,FALSE,5,,FALSE
-2146032873,03-Mar-04,1,3,2465a,FALSE,TRUE,FALSE,{F940B4B9-F476-4C58-B12E-480DEE9330F0},,,,FALSE,,,TRUE
-2145869144,13-Mar-95,1,1,1241a,FALSE,TRUE,FALSE,{236EA788-DEBF-405D-AC2C-A8B0D484CEF9},,,,FALSE,,,FALSE
-2145806832,03-Mar-00,1,3,0461a,FALSE,TRUE,FALSE,{D897DCA8-51E5-11D6-BC29-E53863EBB23C},,,,FALSE,,,TRUE
-2145373739,11-Feb-04,1,2,1828p,FALSE,TRUE,FALSE,{30D74DB6-B6AC-46AF-8284-EFBFE4C4F1D9},,,,FALSE,,,TRUE
-2145364097,15-Dec-12,1,4,4332p,TRUE,FALSE,FALSE,{58BBF97C-F252-466B-A326-3F607C52DD2F},3,1,1,FALSE,5,,FALSE
-2145241017,25-Jun-04,1,2,3113a,TRUE,FALSE,FALSE,{A9884217-D76B-42AB-BC7A-A1EC21E8082C},,,,FALSE,,,FALSE
-2143966339,20-Dec-99,1,2,0863a,FALSE,TRUE,FALSE,{207060C8-1235-11D5-BC29-BDB1E7C43E3C},,,,FALSE,,,FALSE
-2143462037,06-Jan-15,1,2,3503a,FALSE,TRUE,FALSE,{DC47FB51-E1F2-4AED-A498-0FDC82A20B99},3,5,1,FALSE,9,,FALSE
-2143208354,05-Jan-13,1,3,2974a,FALSE,TRUE,FALSE,{DCAE7D87-4870-4010-B3BC-3268952F124D},1,1,1,FALSE,3,,FALSE
-2143018820,01-May-08,1,2,3856a,TRUE,FALSE,FALSE,{F255BE57-75C4-4FFF-9982-9173E7F2FC30},2,1,1,FALSE,4,,FALSE
-2142206097,24-Jun-20,1,1,5173a,TRUE,FALSE,FALSE,{C25D10B2-ED12-4177-812B-2302DD5BA1C4},2,1,1,FALSE,4,,FALSE
-2141663725,01-May-08,1,1,3826a,FALSE,TRUE,FALSE,{E68A8E87-099D-47DC-A805-036599D92890},3,1,1,FALSE,5,,FALSE
-2141377756,11-Jun-97,1,1,0080a,FALSE,TRUE,FALSE,{821E5AD8-E277-11D4-BC29-BEBBF9A0733F},,,,FALSE,,,TRUE
-2141131241,13-Dec-14,1,3,4704a,TRUE,FALSE,FALSE,{EC2B7D29-0519-487F-B820-660F928A7D14},2,1,2,FALSE,5,,FALSE
-2140972665,18-May-01,1,1,0572a,FALSE,TRUE,FALSE,{0F44F39A-0E5E-11D6-BC29-C88A20C3793F},,,,FALSE,,,FALSE
-2140900318,30-Dec-10,1,2,4177a,TRUE,FALSE,FALSE,{86B2BACB-1B9F-47D5-A4D8-E0062B9D17A7},3,1,1,FALSE,5,,FALSE
-2140726852,06-Jan-99,1,2,2428a,TRUE,FALSE,FALSE,{5D03CF76-29F7-11D6-BC29-D2C89F15603C},,,,FALSE,,,TRUE
-2140719387,26-Oct-98,1,2,2364a,TRUE,FALSE,FALSE,{1F3B21E8-EE6A-11D4-BC29-D3484EA22B3E},,,,FALSE,,,TRUE
-2140444490,30-Jan-96,2,3,0842a,FALSE,TRUE,FALSE,{2079CCAF-1B1A-49FE-A3E1-159926CCCAB5},,,,FALSE,,,TRUE
-2139531792,10-Feb-06,1,1,0271a,FALSE,TRUE,FALSE,{E02F57F9-6653-45E0-9A91-4CFAE3D0F004},,,,FALSE,,,TRUE
-2138757790,11-Sep-94,1,1,1059a,FALSE,TRUE,FALSE,{0CC8B3D0-33C7-492E-A6DC-669A6A0212C6},,,,FALSE,,,TRUE
-2138637395,09-Nov-97,1,1,0288a,FALSE,TRUE,FALSE,{94192D0A-E723-4203-B405-192614D0E75C},,,,FALSE,,,TRUE
-2138247361,09-Mar-15,1,1,4765a,TRUE,FALSE,FALSE,{048F2A85-FFFE-4B29-B597-981987671243},2,3,1,FALSE,6,,FALSE
-2137969715,23-Feb-09,1,1,3939a,TRUE,FALSE,FALSE,{AEC16032-F8DA-47A6-96F7-99729E5DEA9E},1,5,1,FALSE,7,,FALSE
-2137287989,09-Aug-03,1,1,2520a,FALSE,TRUE,FALSE,{3A4A0424-0DE8-4430-8F0E-7E4A0513C74C},,,,FALSE,,,TRUE
-2136685833,17-Jan-01,1,2,2577a,FALSE,TRUE,FALSE,{3AFC19CF-0377-11D6-BC29-A1012DD24D3F},,,,FALSE,,,FALSE
-2136609238,13-Oct-95,1,1,1344a,FALSE,TRUE,FALSE,{F8869C47-6C18-44DA-84D2-DD53AF2648A9},,,,FALSE,,,FALSE
-2135928988,17-Sep-98,1,2,0051a,FALSE,TRUE,FALSE,{3CECAEBF-A881-11D6-BC29-B6B2C1EF7F32},,,,FALSE,,,TRUE
-2135556442,28-Oct-99,1,2,0973a,FALSE,TRUE,FALSE,{A50D981E-1C5F-11D5-BC29-CFC4B4A1FC3C},,,,FALSE,,,TRUE
-2135034689,20-Sep-95,1,1,0051a,FALSE,TRUE,FALSE,{7525B227-0C39-41DE-A916-8E6A53DD6691},,,,FALSE,,,TRUE
-2134926983,27-Apr-00,2,2,0572a,FALSE,TRUE,FALSE,{D897DD40-51E5-11D6-BC29-E53863EBB23C},,,,FALSE,,,FALSE
-2134718830,18-Mar-04,1,1,2100a,FALSE,TRUE,FALSE,{68AE0588-E165-4486-B179-BBCC88D6E3B2},,,,FALSE,,,FALSE
-2134444344,07-Feb-96,1,1,0100a,FALSE,TRUE,FALSE,{8D51C4AB-F6E2-4F8E-9F82-C5E93C059CF1},,,,FALSE,,,FALSE
-2134009446,23-Feb-06,1,2,3426a,TRUE,FALSE,FALSE,{417E109F-07A6-4353-A085-50A55F200C13},,,,FALSE,,,FALSE
-2133764464,30-Apr-18,1,1,1341a,FALSE,TRUE,FALSE,{43EE426C-3661-464B-8F0A-F367D68470DC},2,1,1,FALSE,4,,FALSE
-2133014462,01-Feb-10,1,1,2508r,TRUE,FALSE,FALSE,{2E577F0A-2875-4310-85FF-C6D4C840CF83},4,3,1,FALSE,8,,FALSE
-2132745801,20-May-10,1,1,2958a,FALSE,TRUE,FALSE,{AB443934-863B-4FFC-9A66-537F20CEE9E7},3,2,1,FALSE,6,,FALSE
-2132223533,07-Jul-95,1,1,1102p,FALSE,TRUE,FALSE,{7731B55B-DD71-4F45-B7E4-2A8075BDD593},,,,FALSE,,,TRUE
-2131041497,15-Jan-11,1,2,4062a,FALSE,TRUE,FALSE,{63A45623-644F-4294-B459-341F309D694B},2,1,1,FALSE,4,,FALSE
-2130860009,28-Dec-16,1,2,4919a,FALSE,TRUE,FALSE,{16D43AD8-7DC8-47B0-813B-783BCA9EF456},1,5,1,FALSE,7,,FALSE
-2130738703,09-Aug-03,1,1,2933a,TRUE,FALSE,FALSE,{99AC6437-B885-4C25-9C4E-B3231DF66495},,,,FALSE,,,TRUE
-2130044177,29-Nov-15,1,2,3167a,FALSE,TRUE,FALSE,{92A34822-7F0B-42F3-9BBE-7D8ACC95E0F3},1,5,1,FALSE,7,,FALSE
